iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
79,0.4962947,[1.        0.9894623],0.91669184,[1.        0.9894623],2.260614,,6.854406,,20108.605,[1.        0.5264186],38594.19,[1.        0.5264186],71485.5,,201768.02,
80,0.4991826,[1.        0.9912123],0.91996306,[1.        0.9912123],2.2636662,,6.8623867,,19887.55,[1.        0.5263249],38251.598,[1.        0.5263249],71074.195,,201013.48,
81,0.49505788,[0.9845423 1.       ],0.9252258,[0.9845423 1.       ],2.2801802,,6.9328227,,20250.271,[1.        0.5217296],38769.355,[1.        0.5217296],71211.914,,200608.3,
82,0.49168026,[0.9927382  0.99999994],0.9184291,[0.9927382  0.99999994],2.2639425,,6.866448,,20146.82,[1.         0.52225095],38591.992,[1.         0.52225095],70954.125,,200086.73,
83,0.49232322,[0.9923901 1.       ],0.9186575,[0.9923901 1.       ],2.265325,,6.868215,,20332.967,[0.99999994 0.51869226],39094.375,[0.99999994 0.51869226],71188.555,,200636.83,
84,0.49510837,[0.9913982 1.       ],0.92188144,[0.9913982 1.       ],2.2649593,,6.871578,,20246.459,[1.         0.51884043],38949.22,[1.         0.51884043],70930.29,,200146.34,
85,0.49770266,[0.9903187  0.99999994],0.924921,[0.9903187  0.99999994],2.2658553,,6.8747706,,20137.203,[1.        0.5188122],38748.508,[1.        0.5188122],70767.234,,199817.66,
86,0.49695575,[1.        0.9762406],0.95157844,[1.        0.9762406],2.2642958,,6.840892,,19977.63,[1.        0.5196364],38462.055,[1.        0.5196364],70409.484,,198917.69,
87,0.4964447,[1.         0.97717124],0.9503845,[1.         0.97717124],2.263726,,6.8399415,,19745.975,[1.        0.5206441],38052.14,[1.        0.5206441],69798.62,,197381.1,
88,0.4957796,[1.        0.9784136],0.94900125,[1.        0.9784136],2.2633646,,6.8400073,,20171.982,[1.        0.5160025],38575.793,[1.        0.5160025],70150.33,,197424.77,
89,0.49480674,[0.99999994 0.98065716],0.94678146,[0.99999994 0.98065716],2.2616246,,6.83707,,20249.379,[1.         0.51170194],39048.605,[1.         0.51170194],70392.67,,198840.55,
90,0.49369222,[1.         0.98356545],0.9442797,[1.         0.98356545],2.2603505,,6.836249,,20172.914,[1.         0.51171416],38903.746,[1.         0.51171416],69935.36,,197528.33,
91,0.4926017,[1.         0.98685455],0.9413716,[1.         0.98685455],2.2582948,,6.833622,,20069.46,[1.        0.5122421],38719.785,[1.        0.5122421],69629.01,,196793.42,
92,0.4920457,[1.         0.99100584],0.93791914,[1.         0.99100584],2.2556276,,6.8299003,,19921.906,[1.        0.5133413],38439.63,[1.        0.5133413],69157.22,,195485.95,
93,0.49260393,[1.        0.9960294],0.9350641,[1.        0.9960294],2.2518313,,6.8234797,,20256.758,[1.        0.5084593],38776.66,[1.        0.5084593],69125.484,,194217.23,
94,0.49288213,[1.        0.9990649],0.934282,[1.        0.9990649],2.2510505,,6.825669,,20176.09,[1.         0.50892127],38668.105,[1.         0.50892127],69064.08,,194410.03,
95,0.49431416,[0.996631 1.      ],0.93844634,[0.996631 1.      ],2.2449696,,6.8163333,,20032.396,[0.99999994 0.50494015],38460.54,[0.99999994 0.50494015],68634.12,,193437.0,
96,0.48673144,[1.         0.99111503],0.947397,[1.         0.99111503],2.2443578,,6.8133297,,20127.994,[1.         0.50189394],38908.945,[1.         0.50189394],68709.88,,194270.27,
