,time [s]
iter98_process_counterexamples,0.004261
iter99_learner,10.119813
iter99_plot,0.031278
iter99_verifier,7.055913
iter99_process_counterexamples,0.004256
iter100_learner,10.584183
iter100_plot,0.03188
iter100_verifier,7.32147
iter100_process_counterexamples,0.009488
iter101_learner,10.503216
iter101_plot,0.031836
iter101_verifier,6.966022
iter101_process_counterexamples,0.004311
iter102_learner,10.568605
iter102_plot,0.031305
iter102_verifier,7.513381
iter102_process_counterexamples,0.004274
iter103_learner,10.587909
iter103_plot,0.032508
iter103_verifier,6.67658
iter103_process_counterexamples,0.004307
iter104_learner,10.09067
iter104_plot,0.032278
iter104_verifier,7.34627
iter104_process_counterexamples,0.004255
iter105_learner,10.337906
iter105_plot,0.032192
iter105_verifier,6.997941
iter105_process_counterexamples,0.004148
iter106_learner,10.572696
iter106_plot,0.033309
iter106_verifier,8.301709
iter106_process_counterexamples,0.004786
iter107_learner,10.268902
iter107_plot,0.033771
iter107_verifier,7.100207
iter107_process_counterexamples,0.00432
iter108_learner,10.367131
iter108_plot,0.03386
iter108_verifier,6.840144
iter108_process_counterexamples,0.004303
iter109_learner,10.528891
iter109_plot,0.033973
iter109_verifier,7.533358
iter109_process_counterexamples,0.004231
iter110_learner,10.724987
iter110_plot,0.034009
iter110_verifier,7.823083
iter110_process_counterexamples,0.004387
iter111_learner,10.311983
iter111_plot,0.035243
iter111_verifier,8.154467
iter111_process_counterexamples,0.004216
iter112_learner,10.738439
iter112_plot,0.03485
iter112_verifier,8.530628
iter112_process_counterexamples,0.004392
iter113_learner,10.454751
iter113_plot,0.034493
iter113_verifier,7.962995
iter113_process_counterexamples,0.004377
iter114_learner,10.389045
iter114_plot,0.035215
iter114_verifier,7.455419
iter114_process_counterexamples,0.004242
iter115_learner,10.499681
iter115_plot,0.035246
iter115_verifier,7.80804
iter115_process_counterexamples,0.004285
iter116_learner,11.113027
iter116_plot,0.036105
iter116_verifier,8.191315
iter116_process_counterexamples,0.010809
iter117_learner,10.929292
iter117_plot,0.036354
iter117_verifier,7.202186
iter117_process_counterexamples,0.004185
iter118_learner,10.861662
iter118_plot,0.035863
iter118_verifier,6.259324
iter118_process_counterexamples,0.004244
iter119_learner,10.492767
iter119_plot,0.03685
iter119_verifier,8.138832
iter119_process_counterexamples,0.004371
iter120_learner,10.577507
iter120_plot,0.037137
iter120_verifier,8.370869
iter120_process_counterexamples,0.00439
iter121_learner,10.69339
iter121_plot,0.036887
iter121_verifier,7.828902
iter121_process_counterexamples,0.004356
iter122_learner,11.046921
iter122_plot,0.037659
iter122_verifier,8.120494
iter122_process_counterexamples,0.004288
iter123_learner,10.560106
iter123_plot,0.038077
iter123_verifier,8.153743
iter123_process_counterexamples,0.004386
iter124_learner,10.906134
iter124_plot,0.038668
iter124_verifier,8.220368
iter124_process_counterexamples,0.004348
iter125_learner,10.520221
iter125_plot,0.03951
iter125_verifier,7.290019
iter125_process_counterexamples,0.00439
iter126_learner,10.291062
iter126_plot,0.038873
iter126_verifier,7.098774
iter126_process_counterexamples,0.004368
iter127_learner,10.950822
iter127_plot,0.038685
iter127_verifier,8.153365
iter127_process_counterexamples,0.004419
iter128_learner,11.19082
iter128_plot,0.051653
iter128_verifier,7.993096
iter128_process_counterexamples,0.004602
iter129_learner,10.562129
iter129_plot,0.051164
iter129_verifier,22.68036
iter129_process_counterexamples,0.038191
iter130_learner,10.442398
iter130_plot,0.039408
iter130_verifier,21.585463
iter130_process_counterexamples,0.03574
iter131_learner,10.396225
iter131_plot,0.039966
iter131_verifier,169.1116
iter131_process_counterexamples,2.048363
iter132_learner,10.333359
iter132_plot,0.041744
iter132_verifier,20.645367
iter132_process_counterexamples,0.036283
iter133_learner,10.734342
iter133_plot,0.040321
iter133_verifier,7.911769
iter133_process_counterexamples,0.004521
iter134_learner,10.558935
iter134_plot,0.040081
iter134_verifier,21.370949
iter134_process_counterexamples,0.032161
iter135_learner,11.008518
iter135_plot,0.041409
iter135_verifier,757.0349
